user_id,segment,session_id,content_id,event_date,content_quality_score,completion_rate,is_skipped,watch_time_sec
USR_0000,casual,SES_USR_0000_00,B0BN2576GQ,2023-12-02,0.3967,0.5828,False,17.5
USR_0000,casual,SES_USR_0000_00,B01M69WCZ6,2023-12-02,0.4695,0.8736,True,26.2
USR_0000,casual,SES_USR_0000_00,B01EJ5MM5M,2023-12-02,0.3352,0.3379,False,10.1
USR_0000,casual,SES_USR_0000_00,B08MV82R99,2023-12-02,0.4924,0.3953,True,11.9
USR_0000,casual,SES_USR_0000_01,B07LDPLSZC,2023-12-27,0.5163,0.528,False,15.8
USR_0000,casual,SES_USR_0000_01,B07LFWP97N,2023-12-27,0.4908,0.357,False,10.7
USR_0000,casual,SES_USR_0000_01,B09GFPVD9Y,2023-12-27,0.7105,0.6496,False,19.5
USR_0000,casual,SES_USR_0000_01,B08HD7JQHX,2023-12-27,0.3053,0.5992,False,18.0
USR_0000,casual,SES_USR_0000_01,B07RX42D3D,2023-12-27,0.4526,0.7134,False,21.4
USR_0000,casual,SES_USR_0000_01,B07TTSS5MP,2023-12-27,0.4213,0.5714,True,17.1
USR_0000,casual,SES_USR_0000_01,B09TY4MSH3,2023-12-27,0.3034,0.4281,False,12.8
USR_0000,casual,SES_USR_0000_01,B0B1MDZV9C,2023-12-27,0.4436,0.5704,False,17.1
USR_0000,casual,SES_USR_0000_01,B09Z6WH2N1,2023-12-27,0.5147,0.5854,True,17.6
USR_0000,casual,SES_USR_0000_02,B07FJNNZCJ,2023-12-14,0.5408,0.673,False,20.2
USR_0000,casual,SES_USR_0000_02,B08TGG316Z,2023-12-14,0.6092,0.5531,False,16.6
USR_0000,casual,SES_USR_0000_02,B0B9LDCX89,2023-12-14,0.5137,0.5825,True,17.5
USR_0000,casual,SES_USR_0000_02,B0756K5DYZ,2023-12-14,0.4736,0.5611,False,16.8
USR_0000,casual,SES_USR_0000_02,B08RZ5K9YH,2023-12-14,0.5379,0.4512,False,13.5
USR_0000,casual,SES_USR_0000_02,B08FTFXNNB,2023-12-14,0.399,0.6018,True,18.1
USR_0000,casual,SES_USR_0000_02,B00LP9RFSU,2023-12-14,0.4689,0.551,True,16.5
USR_0000,casual,SES_USR_0000_02,B07PFJ5W31,2023-12-14,0.5466,0.8795,True,26.4
USR_0000,casual,SES_USR_0000_03,B0B5YBGCKD,2023-12-11,0.5372,0.6506,True,19.5
USR_0000,casual,SES_USR_0000_03,B01GGKYKQM,2023-12-11,0.5508,0.2354,False,7.1
USR_0000,casual,SES_USR_0000_03,B09NTHQRW3,2023-12-11,0.4907,0.7452,True,22.4
USR_0000,casual,SES_USR_0000_03,B07TMCXRFV,2023-12-11,0.5951,0.612,True,18.4
USR_0000,casual,SES_USR_0000_03,B08LW31NQ6,2023-12-11,0.5862,0.7652,False,23.0
USR_0000,casual,SES_USR_0000_03,B06Y36JKC3,2023-12-11,0.4929,0.2686,False,8.1
USR_0000,casual,SES_USR_0000_03,B07GLSKXS1,2023-12-11,0.4453,0.5504,False,16.5
USR_0000,casual,SES_USR_0000_03,B07HK53XM4,2023-12-11,0.351,0.3626,True,10.9
USR_0000,casual,SES_USR_0000_04,B00GZLB57U,2023-12-04,0.5659,0.4792,False,14.4
USR_0000,casual,SES_USR_0000_04,B082T6GVLJ,2023-12-04,0.5413,0.5326,False,16.0
USR_0000,casual,SES_USR_0000_04,B09MT84WV5,2023-12-04,0.6351,0.4582,False,13.7
USR_0000,casual,SES_USR_0000_04,B0B9959XF3,2023-12-04,0.5378,0.5379,False,16.1
USR_0000,casual,SES_USR_0000_04,B08L879JSN,2023-12-04,0.5147,0.765,True,22.9
USR_0000,casual,SES_USR_0000_04,B0832W3B7Q,2023-12-04,0.4269,0.5725,True,17.2
USR_0001,churned,SES_USR_0001_00,B07J2NGB69,2023-03-02,0.5644,0.2783,True,8.3
